window_start,site,Ions,Concentration
1992-08-28,BQ2,nh4n_mgl,NA
1992-08-28,BQ2,no3n_mgl,49.125
1992-10-30,BQ2,k_mgl,1.2144444444444444
1992-10-30,BQ2,mg_mgl,2.6044444444444443
1992-10-30,BQ2,ca_mgl,5.694444444444445
1992-10-30,BQ2,nh4n_mgl,NA
1992-10-30,BQ2,no3n_mgl,66.28571428571429
1993-01-01,BQ2,k_mgl,1.27
1993-01-01,BQ2,mg_mgl,3.181111111111111
1993-01-01,BQ2,ca_mgl,6.49
1993-01-01,BQ2,nh4n_mgl,NA
1993-01-01,BQ2,no3n_mgl,135
1993-03-05,BQ2,k_mgl,1.3044444444444445
1993-03-05,BQ2,mg_mgl,3.243333333333333
1993-03-05,BQ2,ca_mgl,6.347777777777778
1993-03-05,BQ2,nh4n_mgl,NA
1993-03-05,BQ2,no3n_mgl,144
1993-05-07,BQ2,k_mgl,1.468888888888889
1993-05-07,BQ2,mg_mgl,2.9611111111111112
1993-05-07,BQ2,ca_mgl,6.171111111111111
1993-05-07,BQ2,nh4n_mgl,NA
1993-05-07,BQ2,no3n_mgl,72.75
1993-07-09,BQ2,k_mgl,1.4122222222222223
1993-07-09,BQ2,mg_mgl,3.1777777777777776
1993-07-09,BQ2,ca_mgl,7.205555555555556
1993-07-09,BQ2,nh4n_mgl,NA
1993-07-09,BQ2,no3n_mgl,23.5
1993-09-10,BQ2,k_mgl,1.33
1993-09-10,BQ2,mg_mgl,2.8533333333333335
1993-09-10,BQ2,ca_mgl,6.414444444444444
1993-09-10,BQ2,nh4n_mgl,NA
1993-09-10,BQ2,no3n_mgl,55.33333333333333
1993-11-12,BQ2,k_mgl,1.4
1993-11-12,BQ2,mg_mgl,2.6155555555555554
1993-11-12,BQ2,ca_mgl,6.371111111111111
1993-11-12,BQ2,nh4n_mgl,NA
1993-11-12,BQ2,no3n_mgl,56.66666666666667
1994-01-14,BQ2,k_mgl,1.3533333333333333
1994-01-14,BQ2,mg_mgl,2.828888888888889
1994-01-14,BQ2,ca_mgl,5.916666666666667
1994-01-14,BQ2,nh4n_mgl,NA
1994-01-14,BQ2,no3n_mgl,12.333333333333334
1994-03-18,BQ2,k_mgl,1.2733333333333334
1994-03-18,BQ2,mg_mgl,3.0566666666666666
1994-03-18,BQ2,ca_mgl,6.77
1994-03-18,BQ2,nh4n_mgl,NA
1994-03-18,BQ2,no3n_mgl,30.166666666666664
1994-05-20,BQ2,k_mgl,1.46125
1994-05-20,BQ2,mg_mgl,3.11875
1994-05-20,BQ2,ca_mgl,6.51
1994-05-20,BQ2,nh4n_mgl,NA
1994-05-20,BQ2,no3n_mgl,87.625
1994-07-22,BQ2,k_mgl,0.9500000000000001
